x,y
一半,3
一点点,3
一通,2
不 太,0
不,1
不信,1
不值得,1
不再,1
不准,1
不可估计,2
不可估计地,2
不可估计的,2
不可估量 地,2
不可估量 的,2
不可估量,2
不可估量地,2
不可估量的,2
不可否认,2
不在乎,1
不在于,1
不够,0
不大会,0
不太,0
不如,1
不如说,2
不嫌,1
不应,1
不得不说,2
不必,1
不怎么,0
不敢,1
不是 一般 的,2
不是,1
不是一般的,2
不曾 想到,1
不曾,1
不曾想到,1
不甚,3
不用,1
不管,5
不能,1
不至于,3
不要,1
不觉得,1
不计其数 地,2
不计其数 的,2
不计其数,2
不计其数地,2
不计其数的,2
不许,1
不该,1
不过,4
不需,1
不须,1
与其说,1
丝毫,2
主要 地,2
主要,2
主要地,2
主要的,2
乍看,1
也不,1
也许,3
事实上,2
亏得,1
些许,3
仅,3
仅仅,3
仅限于,3
从不,1
从未,1
从没,1
以免,1
休,1
休要,1
但,4
但是,4
偏偏,2
偶尔,3
充其量,3
全然 地,2
全然 的,2
全然,2
全然地,2
全然的,2
全程,2
关键 地,2
关键 的,2
关键,2
关键地,2
关键的,2
其实,2
决不,1
决定性 地,2
决定性 的,2
决定性,2
决定性地,2
决定性的,2
凑合,3
几乎,3
切勿,1
切莫,1
则,2
别,1
别让,1
剧烈 地,2
剧烈 的,2
剧烈,2
剧烈地,2
剧烈的,2
加倍 地,2
加倍 的,2
加倍,2
加倍地,2
加倍的,2
勉强,3
勿,1
十分,2
十足 地,2
十足 的,2
十足,2
十足地,2
十足的,2
即使,5
即便,5
却,2
原 以为,1
原以为,1
原本 以为,1
原来 以为,1
只,3
只不过,3
只是,3
只有,3
可是,4
可能,3
各种,2
否,1
否决,1
否定,1
否认,1
哪怕,5
唯一,3
在某种程度上,3
基本,3
基本的,2
堪称,2
多数 地,2
多数 的,2
多数,2
多数地,2
多数的,2
够不上,0
大体,3
大体上,3
大多数 地,2
大多数 的,2
大多数,2
大多数地,2
大多数的,2
大大,2
大量 地,2
大量 的,2
大量,2
大量地,2
大量的,2
太,2
太过,0
奇大无比,2
好2,2
好像,3
如此,2
完全 地,2
完全 的,2
完全,2
完全地,2
完全的,2
实在,2
实际上,2
少数 地,3
少数 的,3
少数,3
少数地,3
少数的,3
尚未,1
尤其,2
就是,2
尽管,5
尽量,2
居然 还是,1
居然,2
巨大 地,2
巨大 的,2
巨大,2
巨大地,2
巨大的,2
差不多,3
差点,3
差点儿,3
常常,2
并非,1
庞大 地,2
庞大 的,2
庞大,2
庞大地,2
庞大的,2
弗,1
弗有,1
彻头彻尾 地,2
彻头彻尾 的,2
彻头彻尾,2
彻头彻尾地,2
彻头彻尾的,2
彻底 地,2
彻底,2
彻底地,2
彻底的,2
往往,2
很,2
很多,2
很少,3
很难,1
必定，2,NA
急剧 地,2
急剧,2
急剧地,2
总是,2
恰恰,2
想不到,1
所谓,0
所谓的,0
拒绝,0
挺,2
故意 地,2
故意 的,2
故意,2
故意地,2
故意的,2
无以复加,2
无法,1
无须,1
既不,1
时不时,3
明明,2
明显的,2
更,2
更加,2
更多,2
最,2
有一点,3
有一点儿,3
有些,3
有意 地,2
有意 的,2
有意,2
有意地,2
有意的,2
有时,3
有点,3
有点儿,3
木有,1
未,1
未尝 不是,2
未尝,1
未尝不是,2
未必,1
未曾,1
未能,1
本 以为,1
本以为,1
本来 以为,1
本来 觉得,1
本来 就,2
本来 就是,2
本来以为,1
本来觉得,1
本来 想,1
本来 还 想,1
杜绝,0
极,2
极其,2
极大 地,2
极大 的,2
极大,2
极大地,2
极大的,2
极少,3
极少数 地,3
极少数 的,3
极少数,3
极少数地,3
极少数的,3
极致,2
果真,2
某种程度,3
某种程度上,3
根本,2
欠,0
毋庸置疑,2
毋需,1
每分钟 都是,2
每每,2
比较,3
毕竟,2
毫不,0
毫无,0
毫无疑问,2
永不,1
永远,2
没,1
没人,1
没什么,1
没办法,2
没想到,1
没有,1
没有人,1
深深 的,2
深深,2
深深地,2
深深的,2
灰常,2
然而,4
爆,2
特别,2
玩 不出,0
甭,0
略微 地,3
略微 的,3
略微,3
略微地,3
略微的,3
略显,3
白白,0
的确,2
相对,3
相当 地,2
相当 的,2
相当,2
相当地,2
相当的,2
看上去,5
看不出,1
看似,1
真,2
真地,2
真心2,2
真正2,2
瞬间,2
确定 地,2
确定 无疑,2
确定,2
确定地,2
确定无疑,2
确定的,2
确实,2
禁止,0
稍微 地,3
稍微,3
稍微地,3
稍稍 地,3
稍稍,3
稍稍地,3
究竟,2
竟然,2
简直 就是,2
简直,2
算 不上,0
算不上,0
纯属,2
纯粹2,2
纵使,5
纵有,5
纵然,5
终究,2
经常,2
绝,2
绝大多数 地,2
绝大多数 的,2
绝大多数,2
绝大多数地,2
绝大多数的,2
绝对 地,2
绝对 的,2
绝对,2
绝对地,2
绝对的,2
绝非,1
缺少,0
罕有,3
老2,2
老是,2
而非,1
肯定 地,2
肯定 的,2
肯定,2
肯定地,2
肯定的,2
莫,1
莫要,1
虽,5
虽然,5
虽说,5
蛮,2
说不上,0
貌似,3
超,2
超级,2
越来越,2
较少,3
过于,0
还未,1
还没,1
还算,3
远非,1
避免,0
那么,2
部分 地,3
部分,3
部分地,3
重要 地,2
重要 的,2
重要,2
重要地,2
重要的,2
重重地,2
间或,3
除了,3
难以,1
难以置信 地,2
难以置信 的,2
难以置信,2
难以置信地,2
难以置信的,2
难道 不是,2
难道不是,2
非,1
非常,2
非常地,2
非要,2
顶多,3
频繁,2
频频,2
首要 地,2
首要 的,2
首要,2
首要地,2
首要的,2
高度 地,2
高度 的,2
高度,2
高度地,2
高度的,2
鲜有,3
得 很,2
